name,type,address,location,pname,cityname,adname
瑞幸咖啡(江桥万达家乐福店),餐饮服务;餐饮相关场所;餐饮相关,金沙江西路1075弄17号家乐福一层,"121.323353,31.240318",上海市,上海市,嘉定区
瑞幸咖啡(西郊商务园店),餐饮服务;咖啡厅;咖啡厅,天创路96号西郊商务园C2区35号一层,"121.331319,31.236531",上海市,上海市,嘉定区
瑞幸咖啡(华泰中心店),餐饮服务;咖啡厅;咖啡厅,江桥镇金运路183号华泰中心一层,"121.320034,31.235592",上海市,上海市,嘉定区
瑞幸咖啡(中骏广场店),餐饮服务;咖啡厅;咖啡厅,迁虹路与申长路交汇处,"121.313114,31.211368",上海市,上海市,闵行区
瑞幸咖啡(虹桥协信中心店),餐饮服务;咖啡厅;咖啡厅,申虹路671号虹桥协信中心T2幢底商,"121.315943,31.201955",上海市,上海市,闵行区
瑞幸咖啡(虹桥万科中心店),餐饮服务;咖啡厅;咖啡厅,申长路988弄1号虹桥万科中心一层107室,"121.315098,31.197034",上海市,上海市,闵行区
瑞幸咖啡(金臣中心店),餐饮服务;咖啡厅;咖啡厅,甬虹路78弄2号金臣中心底商,"121.316250,31.189971",上海市,上海市,闵行区
luckincoffee瑞幸咖啡(虹桥天街店),餐饮服务;咖啡厅;咖啡厅,甬虹路188弄龙湖虹桥天街H栋一层127室,"121.313384,31.189983",上海市,上海市,闵行区
瑞幸咖啡(虹桥世界中心店),餐饮服务;餐饮相关场所;餐饮相关,诸光路1588弄357号虹桥世界中心一层1号,"121.303670,31.184063",上海市,上海市,青浦区
瑞幸咖啡(阿里中心店),餐饮服务;咖啡厅;咖啡厅,申长路1398弄1-4号阿里中心大厦T1幢底商,"121.313686,31.204889",上海市,上海市,闵行区
瑞幸咖啡(国家会展中心店),餐饮服务;咖啡厅;咖啡厅,涞港路181号国家会展中心B栋一层大堂,"121.302996,31.193678",上海市,上海市,青浦区
瑞幸咖啡(九亭金地广场店),餐饮服务;餐饮相关场所;餐饮相关,沪亭北路99弄九亭金地广场B1,"121.318988,31.140630",上海市,上海市,松江区
瑞幸咖啡(虹桥综合交通枢纽上海虹桥国际机场2号航站楼),餐饮服务;咖啡厅;咖啡厅,虹桥路2550号虹桥综合交通枢纽上海虹桥国际机场2号航站楼1F层,"121.327792,31.193477",上海市,上海市,闵行区
瑞幸咖啡(新地中心A栋店),餐饮服务;咖啡厅;咖啡厅,绍虹路218号虹桥新地中心底座,"121.310655,31.193245",上海市,上海市,闵行区
瑞幸咖啡(蒲汇路店),餐饮服务;餐饮相关场所;餐饮相关,蒲汇路178弄九亭U天地2号楼134,"121.325343,31.139245",上海市,上海市,松江区
瑞幸咖啡(e通世界南区店),餐饮服务;餐饮相关场所;餐饮相关,华徐公路685号e通世界南区C座一层102室,"121.265079,31.196836",上海市,上海市,青浦区
瑞幸咖啡(青浦光明荟店),餐饮服务;餐饮相关场所;餐饮相关,华新镇新府中路1399弄25号102室光明荟大堂,"121.230148,31.229009",上海市,上海市,青浦区
瑞幸咖啡(e通世界华新园店),餐饮服务;咖啡厅;咖啡厅,华隆路1777号e通世界商务园华新园M座服务中心一层大堂,"121.213873,31.218606",上海市,上海市,青浦区
瑞幸咖啡(德邦快递总部店),餐饮服务;咖啡厅;咖啡厅,徐祥路316号德邦物流D1栋一层112室,"121.261981,31.195293",上海市,上海市,青浦区
瑞幸咖啡(周浦苏宁易购PLAZA万达店),餐饮服务;餐饮相关场所;餐饮相关,周浦镇沪南路3459号万达广场一层ZF07号,"121.568300,31.114540",上海市,上海市,浦东新区
瑞幸咖啡(浦江科技广场2号楼店),餐饮服务;咖啡厅;咖啡厅,陈行路2388号2幢102室(浦江镇地铁站1号口步行80米),"121.507346,31.097098",上海市,上海市,闵行区
瑞幸咖啡(浦江博乐诗店),餐饮服务;餐饮相关场所;餐饮相关,联航路1670号博乐诗服务公寓,"121.514728,31.076334",上海市,上海市,闵行区
瑞幸咖啡(爱登堡产业园店),餐饮服务;咖啡厅;咖啡厅,浦江镇恒西路189号爱登堡产业园一层大堂,"121.511314,31.086712",上海市,上海市,闵行区
瑞幸咖啡(浦江城市生活广场店),餐饮服务;咖啡厅;咖啡厅,江月路1850弄浦江城市生活广场A座一层,"121.503542,31.083237",上海市,上海市,闵行区
瑞幸咖啡(奇亚特中心店),餐饮服务;咖啡厅;咖啡厅,江月路999号奇亚特中心1幢一层大堂,"121.522245,31.086238",上海市,上海市,闵行区
瑞幸咖啡(上海浦江智谷店),餐饮服务;餐饮相关场所;餐饮相关,联航路1188号1号楼一层大堂,"121.525705,31.079822",上海市,上海市,闵行区
瑞幸咖啡(天纳商汇产业园店),餐饮服务;咖啡厅;咖啡厅,周浦镇建韵路500号天纳商汇产业园3幢一层3110A室,"121.568550,31.096207",上海市,上海市,浦东新区
瑞幸咖啡(星月智汇湾店),餐饮服务;咖啡厅;咖啡厅,周浦镇沈梅路123弄1-3号星月智汇湾2号楼一层大堂,"121.575333,31.091399",上海市,上海市,浦东新区
瑞幸咖啡(绿地乐和城上海周浦店),餐饮服务;咖啡厅;咖啡厅,周浦镇周祝公路268弄绿地乐和城F1,"121.609439,31.102374",上海市,上海市,浦东新区
瑞幸咖啡,餐饮服务;咖啡厅;咖啡厅,恒南路与江月路交叉口北80米,"121.514000,31.084892",上海市,上海市,闵行区
瑞幸咖啡(万香创新港店),餐饮服务;咖啡厅;咖啡厅,航都路18号万香创新港2幢一层大堂,"121.612381,31.034914",上海市,上海市,浦东新区
瑞幸咖啡(金汇广场店),餐饮服务;餐饮相关场所;餐饮相关,金汇镇金闸公路599号金汇商业广场一层1110号,"121.502720,30.989833",上海市,上海市,奉贤区
瑞幸咖啡(浦江万达店),餐饮服务;咖啡厅;咖啡厅,浦江镇永跃路360号浦江万达6号门1层1009,"121.511351,31.026644",上海市,上海市,闵行区
瑞幸咖啡(华润万家南汇店),餐饮服务;餐饮相关场所;餐饮相关,惠南镇南门大街18号(近沪南公路)华润万家F1,"121.756448,31.041837",上海市,上海市,浦东新区
瑞幸咖啡(东门大街店),餐饮服务;餐饮相关场所;餐饮相关,东门大街上海市浦东新区光明中医医院西北侧约40米,"121.761494,31.046635",上海市,上海市,浦东新区
瑞幸咖啡(惠南科教园区生活区店),餐饮服务;咖啡厅;咖啡厅,惠南镇观海路1128号上海南汇科教园区生活区,"121.783812,31.047886",上海市,上海市,浦东新区
Luckin coffee瑞幸咖啡(上海思博职业技术学院店)(内部专用),餐饮服务;餐饮相关场所;餐饮相关,城南路1408号思博职业技术学院一层,"121.780647,31.037624",上海市,上海市,浦东新区
瑞幸咖啡(宝龙城市广场2期店),餐饮服务;咖啡厅;咖啡厅,金海路2449弄宝龙城市广场二期7号楼底商,"121.651217,31.265679",上海市,上海市,浦东新区
瑞幸咖啡(恒生万鹂广场店),餐饮服务;餐饮相关场所;餐饮相关,高科东路515弄恒生万鹂广场6B号1层122室,"121.653437,31.211866",上海市,上海市,浦东新区
瑞幸咖啡(阳光天地店),餐饮服务;咖啡厅;咖啡厅,齐爱路与银鼎路交叉口西南120米(唐镇地铁站1号口旁),"121.656231,31.214720",上海市,上海市,浦东新区
瑞幸咖啡(上海第二工业大学店),餐饮服务;咖啡厅;咖啡厅,金海路2360号教学区环东路临商五A号房,"121.651252,31.257373",上海市,上海市,浦东新区
瑞幸咖啡(卡园涛飞店),餐饮服务;咖啡厅;咖啡厅,上丰路999号,"121.661435,31.237623",上海市,上海市,浦东新区
瑞幸咖啡(王港恒生广场店),餐饮服务;咖啡厅;咖啡厅,上丰路1762弄2号,"121.678772,31.240876",上海市,上海市,浦东新区
瑞幸咖啡(翔川路店),餐饮服务;餐饮相关场所;餐饮相关,翔川路绿地东海岸国际广场(川沙地铁站3号口步行440米),"121.698532,31.183639",上海市,上海市,浦东新区
瑞幸咖啡(川沙现代广场店),餐饮服务;咖啡厅;咖啡厅,川沙路4825号川沙现代广场一层,"121.698020,31.194992",上海市,上海市,浦东新区
瑞幸咖啡(第二工业大学店),餐饮服务;餐饮相关场所;餐饮相关,环东路上海第二工业大学(金海路校区),"121.654155,31.261230",上海市,上海市,浦东新区
瑞幸咖啡(浦东机场保税区店),餐饮服务;咖啡厅;咖啡厅,祝桥镇闻居路1333号C区,"121.777497,31.133344",上海市,上海市,浦东新区
瑞幸咖啡(古北SOHO店),餐饮服务;咖啡厅;咖啡厅,虹桥路街道红宝石路188号3幢的古北SOHOB1-05室,"121.404358,31.197830",上海市,上海市,长宁区
瑞幸咖啡(云峰大厦店),餐饮服务;餐饮相关场所;餐饮相关,吴中路478号云峰大厦一层102室,"121.405662,31.185603",上海市,上海市,闵行区
瑞幸咖啡(钦州北路店),餐饮服务;咖啡厅;咖啡厅,钦州北路漕河泾软件大厦,"121.407155,31.178586",上海市,上海市,徐汇区
瑞幸咖啡(古北家乐福店),餐饮服务;咖啡厅;咖啡厅,水城南路262号古北家乐福一层,"121.393757,31.196717",上海市,上海市,长宁区
瑞幸咖啡(吴中大厦店),餐饮服务;餐饮相关场所;餐饮相关,吴中路618号吴中大厦一层101室,"121.398508,31.182693",上海市,上海市,闵行区
瑞幸咖啡(华鑫天地永辉超市店),餐饮服务;咖啡厅;咖啡厅,永辉生活,"121.407289,31.170287",上海市,上海市,徐汇区
瑞幸咖啡(漕河泾齐来科技园店),餐饮服务;餐饮相关场所;餐饮相关,宜山路889号8幢门卫室2室,"121.403098,31.170537",上海市,上海市,徐汇区
瑞幸咖啡(科技产业化大楼店),餐饮服务;咖啡厅;咖啡厅,宜山路900号科技产业化大楼C楼三层生活二次方内,"121.400472,31.171804",上海市,上海市,徐汇区
