name,type,address,location,pname,cityname,adname
喜茶(龙湖星悦荟店),餐饮服务;冷饮店;冷饮店,颐和园路200号等5幢龙湖·星悦荟A馆-L1-25,"116.291094,39.998064",北京市,北京市,海淀区
喜茶(北京华夏幸福创新中心GO店),餐饮服务;冷饮店;冷饮店,汽车博物馆西路8号院华夏幸福创新中心项目25号地块1号楼1-111B号店铺,"116.300916,39.824626",北京市,北京市,丰台区
喜茶(北京颐堤港店),餐饮服务;冷饮店;冷饮店,酒仙桥路18号楼101号1层第72单元,"116.492119,39.970688",北京市,北京市,朝阳区
喜茶(北京房山龙湖天街店),餐饮服务;冷饮店;冷饮店,拱辰北大街龙湖北京房山天街1F-48,"116.141492,39.745857",北京市,北京市,房山区
喜茶(北京京东总部1号楼GO店),餐饮服务;冷饮店;冷饮店,北京经济技术开发区科创十一街18号B座L1层B-1F-020号商铺,"116.562356,39.786782",北京市,北京市,通州区
喜社喜茶(恒大城店),餐饮服务;糕饼店;糕饼店,沙河高教园恒大城汇金街6号院B126,"116.260202,40.169039",北京市,北京市,昌平区
喜社喜茶,餐饮服务;餐饮相关场所;餐饮相关,赵全营北高路首创公园城S1号楼103室,"116.513547,40.214745",北京市,北京市,顺义区
喜樊手摇茶,餐饮服务;冷饮店;冷饮店,八里庄西里99号1层109,"116.494827,39.915026",北京市,北京市,朝阳区
喜三德甜品,餐饮服务;甜品店;甜品店,小营路12号4-3,"116.424887,39.994053",北京市,北京市,朝阳区
耕喜台湾水果茶(甘露园店),餐饮服务;餐饮相关场所;餐饮相关,甘露园中里2号佳亿青年汇北厅2楼,"116.517335,39.921866",北京市,北京市,朝阳区
雨林古树茶·素简茶舍(金泰国际大厦店),餐饮服务;茶艺馆;茶艺馆,广渠路金泰国际大厦A座一层,"116.500275,39.893517",北京市,北京市,朝阳区
小鲸喜微醺预调茶,餐饮服务;冷饮店;冷饮店,京旺家园四区13,"116.531374,40.009915",北京市,北京市,朝阳区
京喜柠,餐饮服务;冷饮店;冷饮店,管庄乡管庄路京客隆北100米-工商银行大门口旁边,"116.591341,39.915757",北京市,北京市,朝阳区
耕喜台湾水果茶,餐饮服务;餐饮相关场所;餐饮相关,奶东村10排11号,"116.475535,40.042777",北京市,北京市,朝阳区
耕喜水果茶青岛啤酒,餐饮服务;餐饮相关场所;餐饮相关,顺白路,"116.475769,40.042960",北京市,北京市,朝阳区
喜社喜茶烘焙店,餐饮服务;餐饮相关场所;餐饮相关,窦店镇于庄沁园春景底商,"116.069404,39.672463",北京市,北京市,房山区
