store_desc,store_desc1,address,coor_x,coor_y
北京市西城区海底捞火锅(新年华购物中心店),北京市西城区海底捞火锅(新年华购物中心店),北京市西城区马连道路25号新年华购物中心F5,116.332739,39.883166
北京市海淀区海底捞火锅(翠微路店),北京市海淀区海底捞火锅(翠微路店),北京市海淀区翠微路12号印象城购物中心4层,116.310287,39.918354
北京市丰台区海底捞火锅(银座和谐广场店),北京市丰台区海底捞火锅(银座和谐广场店),北京市丰台区万丰路68号院银座和谐广场F6,116.30297,39.888468
北京市海淀区海底捞火锅(紫竹桥店),北京市海淀区海底捞火锅(紫竹桥店),北京市海淀区北洼路4号1区4楼,116.311429,39.950789
北京市丰台区海底捞火锅(万丰桥店),北京市丰台区海底捞火锅(万丰桥店),北京市丰台区丰台北路36号c区一层,116.303567,39.872072
北京市丰台区海底捞火锅(大成路店),北京市丰台区海底捞火锅(大成路店),北京市丰台区大成路8号翠微百货5楼13号商铺,116.271764,39.894295
北京市石景山区海底捞火锅(石景山万达店),北京市石景山区海底捞火锅(石景山万达店),北京市石景山区石景山路乙18号万达广场F4,116.231064,39.911754
北京市海淀区海底捞火锅(枫蓝国际购物中心店)(装修中),北京市海淀区海底捞火锅(枫蓝国际购物中心店)(装修中),北京市海淀区西直门北大街32号枫蓝国际购物中心B座3层,116.363916,39.958432
北京市朝阳区海底捞火锅(太阳宫凯德mall店),北京市朝阳区海底捞火锅(太阳宫凯德mall店),北京市朝阳区太阳宫中路12号凯德MALLB1,116.45449,39.977417
北京市海淀区海底捞火锅(牡丹园店),北京市海淀区海底捞火锅(牡丹园店),北京市海淀区花园东路2号,116.374949,39.98494
北京市朝阳区海底捞火锅(新辰里店),北京市朝阳区海底捞火锅(新辰里店),北京市朝阳区北辰东路8号院新辰里购物中心4楼,116.41303,39.998099
北京市朝阳区海底捞火锅(远洋未来广场店),北京市朝阳区海底捞火锅(远洋未来广场店),北京市朝阳区北四环东路73号远洋未来广场购物中心F5,116.439132,39.996595
北京市朝阳区海底捞火锅(国奥村店),北京市朝阳区海底捞火锅(国奥村店),北京市朝阳区林萃东路2号院国奥中心东区a座3层,116.387671,40.015899
北京市海淀区海底捞火锅外送学院路,北京市海淀区海底捞火锅外送学院路,北京市海淀区学清路甲8号,116.362132,40.014504
北京市朝阳区海底捞火锅(望京华彩店),北京市朝阳区海底捞火锅(望京华彩店),北京市朝阳区广顺北大街16号院3号楼望京华彩商业中心2层02号,116.474783,40.01629
北京市朝阳区海底捞火锅(奥森店),北京市朝阳区海底捞火锅(奥森店),NA,NA,NA
北京市朝阳区海底捞火锅(华贸天地店),北京市朝阳区海底捞火锅(华贸天地店),北京市朝阳区清河营南街七号院华贸天地2层,116.439293,40.052555
北京市海淀区海底捞火锅(悦茂购物中心店),北京市海淀区海底捞火锅(悦茂购物中心店),北京市海淀区后屯路(文龙家园四里4号楼)悦茂购物中心F3,116.356045,40.049198
北京市海淀区海底捞火锅(华联万柳购物中心店),北京市海淀区海底捞火锅(华联万柳购物中心店),北京市海淀区巴沟路2号BHG Mall北京华联万柳购物中心F5,116.301241,39.979886
北京市海淀区海底捞火锅(世纪金源店),北京市海淀区海底捞火锅(世纪金源店),北京市海淀区远大路1号世纪金源购物中心F5,116.291999,39.964714
北京市海淀区海底捞火锅(清河万象汇店),北京市海淀区海底捞火锅(清河万象汇店),北京市海淀区清河中街66号北京清河万象汇F6,116.342945,40.035566
北京市海淀区海底捞火锅(上地店),北京市海淀区海底捞火锅(上地店),北京市海淀区农大南路1号院1号楼上地华联中心4层,116.318147,40.034925
北京市海淀区海底捞火锅(中发百旺商城店),北京市海淀区海底捞火锅(中发百旺商城店),北京市海淀区圆明园西路18-15号百旺商城四层,116.283146,40.035345
北京市丰台区海底捞火锅(西铁营万达店),北京市丰台区海底捞火锅(西铁营万达店),北京市丰台区西铁营中路1号院1号楼5F5022号,116.36238,39.866426
北京市东城区海底捞火锅(崇文门新世界百货店),北京市东城区海底捞火锅(崇文门新世界百货店),北京市东城区崇文门外大街3-5号新世界百货综合馆5层,116.424117,39.9039
